DUNS_NUMBER;CAE1;NOME;MORADA;LOCALIDADE;COD_POSTAL;ENDERECO_POSTAL;CONCELHO;DISTRITO;TELEFONE;FAX;EMAIL;WEBSITE;NUMERO_CONTRIBUINTE;VENDAS;EMPREGADOS;FUNCAO_E7;TITULO_ACADEMICO_E7;NOME_E7
453359911;47593;LOJA DO GATO PRETO - ARTESANATO E DECORAÇÃO, LDA;AVENIDA 25 DE ABRIL DE 1974, LOTE 1 3.C - EDIFICIO CENTRAL PARK;LINDA A VELHA;2795-224;LINDA A VELHA;OEIRAS;LISBOA;214149450;214149459;info@lojadogatopreto.pt;www.alojadogatopreto.com;501774335;54644111;472;Director de Marketing;Dra.;Teresa Araújo
338269780;11021;QUINTA AND VINEYARD BOTTLERS - VINHOS, S.A.;RUA CHOUPELO, 250;VILA NOVA DE GAIA;4400-088;VILA NOVA DE GAIA;VILA NOVA DE GAIA;PORTO;223742800;223742899;miguel.coelho@taylor.pt;www.taylor.pt;503885428;54536045.62;165;Director de Marketing;Dr.;Nicolas John Heath
336272997;46520;NEXTIRAONE PORTUGAL - SOLUÇÕES E SERVIÇOS INTEGRADOS DE COMUNICAÇÕES, S.A.;RUA DO MOINHO DA BARRUNCHADA, 2;CARNAXIDE;2794-026;CARNAXIDE;OEIRAS;LISBOA;214169500;214169518;nextiraone@nextiraone.pt;www.nextiraone.pt;505134195;54287402.23;145;Director de Marketing;Eng.;Pedro Morão
449842384;77110;ITELCAR - AUTOMÓVEIS DE ALUGUER, S.A.;QUINTA DA FONTE, EDIFÍCIO DOM JOSÉ, PISO 0;PAÇO DE ARCOS;2770-192;PAÇO DE ARCOS;OEIRAS;LISBOA;214824700;214824702;gecapitalsolutions.pt@ge.com;www.avisfleetservices.com/pt;500142866;54263501.82;57;Director de Marketing;;Artur Ferreira
450679584;10120;INTERAVES - SOCIEDADE AGRO-PECUÁRIA, S.A.;QUINTA DA VENDA;MARÉS;2580-067;ABRIGADA;ALENQUER;LISBOA;263798000;263798027;interaves@mail.telepac.pt;www.interaves.pt;501416170;54167332.38;327;Director de Marketing;Dra.;Susana Gonçalves Vitorino
449117944;23131;SOTANCRO - EMBALAGEM DE VIDRO, S.A.;RUA VICE-ALMIRANTE AZEVEDO COUTINHO, 1;AMADORA;2700-843;AMADORA;AMADORA;LISBOA;214967500;214991716;bavidro@bavidro.com;www.bavidros.com;500274754;54055260.04;364;Director de Marketing;;Pedro Lopes
452323264;17220;FÁBRICA DE PAPEIS CUNHAS, LDA;AVENIDA 5 DE OUTUBRO, 557;BOIM;4620-031;BOIM;LOUSADA;PORTO;255820840;255820848;geral@fabricadaboucinha.pt;www.fabricadaboucinha.pt;501851267;54000753.22;50;Director de Marketing;;Carlos Alberto Fernandes Cunha
337154855;17110;CAIMA - INDÚSTRIA DE CELULOSE, S.A.;AVENIDA CONDE DE VALBOM, 30 5º;LISBOA;1050-068;LISBOA;LISBOA;LISBOA;210124814;213573020;caima@caima.pt;www.caima.pt;506149960;53552656.48;226;Director de Marketing;Dr.;João Pereira
336147553;20301;TINTAS ROBBIALAC, S.A.;VALE DE LIDE;SÃO JOÃO DA TALHA;2695-671;SÃO JOÃO DA TALHA;LOURES;LISBOA;965865505;219947714;robbialac@robbialac.pt;www.robbialac.pt;504426982;52728599.56;419;Director de Marketing;Dr.;Pedro Silva
449972876;46460;LABORATÓRIOS DELTA, LDA;RUA DIREITA DE MASSAMÁ, 148 - MASSAMA;QUELUZ;2745-751;QUELUZ;SINTRA;LISBOA;214308300;214373845;info@laboratoriosdelta.pt;www.laboratoriosdelta.pt;500802360;51948457.25;141;Director de Marketing;Dr.;Carlos Diogo
450679402;10110;DILOP - PRODUTOS ALIMENTARES, S.A.;AVENIDA DE PORTUGAL, 36;MILHARADO;2665-357;MILHARADO;MAFRA;LISBOA;212309200;219856566;dilop@dilop.pt;;501488227;51834396.7;206;Director de Marketing;Dra.;Cristina Rodrigues
449174382;79110;BCD TRAVEL PORTUGAL - AGÊNCIA DE VIAGENS, LDA;RUA DO ALECRIM, 7;LISBOA;1249-044;LISBOA;LISBOA;LISBOA;213221000;213221090;nuno.vargas@bcdtravel.pt;www.bcdtravel.pt;500291110;51757953;115;Director de Marketing;;Patrícia Ferreira
450430665;49410;DILOFAR - DISTRIBUIÇÃO, TRANSPORTES E LOGÍSTICA, LDA;AVENIDA MARECHAL GOMES DA COSTA, 19;LISBOA;1800-255;LISBOA;LISBOA;LISBOA;218391000;218391055;geral@dilofar.pt;www.dilofar.pt;500563004;51731465.22;213;Director de Marketing;;Frederico Pereira Vasconcelos Fialho
453818122;46460;OCTAPHARMA - PRODUTOS FARMACÊUTICOS, LDA;RUA DA GRAÇA, 14;LISBOA;1170-169;LISBOA;LISBOA;LISBOA;218160820;218160830;;www.octapharma.com;502820780;51634571.52;23;Director de Marketing;;Eduardo Marques
449953447;68200;CENTRO COLOMBO - CENTRO COMERCIAL, S.A.;AVENIDA LUSIADA, CENTRO COMERCIAL COLOMBO;LISBOA;1500-392;LISBOA;LISBOA;LISBOA;217113636;217113644;administracao@colombo.pt;;501938966;51434471.72;1;Director de Marketing;Dra.;Filipa Cyrne de Castro
449000181;23132;CRISTAIS ATLANTIS, S.G.P.S.,S.A.;CASAL DA AREIA;CASAL DA AREIA;2460-392;COZ;ALCOBAÇA;LEIRIA;262540200;262540201;crisal@mail.telepac.pt;www.atlantis-cristais-de-alcobaca.pt;500080348;51270388.36;600;Director de Marketing;Dr.;Nuno Mariz Fernandes
450313317;23420;SANITANA - FÁBRICA DE SANITÁRIOS DE ANADIA, S.A.;ZONA INDUSTRIAL DE ANADIA - ALMA DAS DOMINGAS;PENEIREIRO;3780-623;AGUIM;ANADIA;AVEIRO;231519500;231511024;sanitana@mail.telepac.pt;www.sanitana.com;500887268;51233437.72;599;Director de Marketing;Dr.;Élio Fernandes
449130079;46390;MALAQUIAS - DISTRIBUIÇÃO ALIMENTAR, LDA;AVENIDA 16 DE MAIO - ZONA INDUSTRIAL;OVAR;3880-102;OVAR;OVAR;AVEIRO;256580200;256580299;cashmalaquias@mail.telepac.pt;www.malaquias.pt;500221510;51219038.34;261;Director de Marketing;;Maria Laura Malaquias Silva Castro
453850828;47111;MODELO CONTINENTE - HIPERMERCADOS, S.A.;RUA JOÃO MENDONÇA, 505;SENHORA DA HORA;4464-503;SENHORA DA HORA;MATOSINHOS;PORTO;220115811;229511801;drh_mch@sonae.pt;www.modelocontinente.pt;502011475;2881441466;19592;Director de Marketing;Dr.;José Manuel Cardoso Fortunato
450240890;47111;PINGO DOCE - DISTRIBUIÇÃO ALIMENTAR, S.A.;RUA TIERNO GALVAN, TORRE 3 PISO 9 LETRA J;LISBOA;1070-274;LISBOA;LISBOA;LISBOA;217532000;217532049;;www.pingodoce.pt;500829993;2110336214;12458;Director de Marketing;Dra.;Vanessa Silva
449172428;51100;TRANSPORTES AÉREOS PORTUGUESES, S.A.;AEROPORTO DE LISBOA, EDIFÍCIO 25;LISBOA;1700-008;LISBOA;LISBOA;LISBOA;218415000;218415527;info@tap.pt;www.tap-airportugal.pt;500278725;2109503503;6797;Director de Marketing;Dr.;Luís Monteiro
336487389;61100;PT COMUNICAÇÕES, S.A.;RUA ANDRADE CORVO, 6;LISBOA;1050-009;LISBOA;LISBOA;LISBOA;215001000;213129761;;www.ptcom.pt;504615947;1793949224;6081;Director de Marketing;;Pedro Silva Nunes
453465593;61200;TMN - TELECOMUNICAÇÕES MÓVEIS NACIONAIS, S.A.;AVENIDA ÁLVARO PAIS, 2 - EDIFÍCIO MARCONI;LISBOA;1649-041;LISBOA;LISBOA;LISBOA;217914400;291202158;2121@tmn.pt;www.tmn.pt;502600268;1592225805;1143;Director de Marketing;Dra.;Filipa Cerveira Baião do Nascimento
453476327;61200;VODAFONE PORTUGAL - COMUNICAÇÕES PESSOAIS, S.A.;AVENIDA DOM JOÃO II, LOTE 1.04.01 8ºPONTE - PARQUE DAS NAÇÕES;LISBOA;1998-017;LISBOA;LISBOA;LISBOA;210915000;210915379;press.pt@vodafone.com;www.vodafone.pt;502544180;1472745543;1641;Director de Marketing;Eng.;António Manuel da Costa Coimbra
453506214;47111;COMPANHIA PORTUGUESA DE HIPERMERCADOS, S.A.;TRAVESSA TEIXEIRA JÚNIOR, 1;LISBOA;1300-553;LISBOA;LISBOA;LISBOA;213602100;213602100;isabel.salgueiro@auchan.pt;www.paodeacucar.pt;502607920;1286222981;7979;Director de Marketing;Dra.;Paula Santos
449005966;42110;MOTA-ENGIL, ENGENHARIA E CONSTRUÇÃO, S.A.;RUA REGO LAMEIRO, 38 - EDIFÍCIO MOTA;PORTO;4300-454;PORTO;PORTO;PORTO;225190300;225191261;geral@mesp.pt;www.mota-engil.pt;500197814;1019433448;8769;Director de Marketing;Eng.;Elisabeth Sousa
449148097;46711;CEPSA - PORTUGUESA PETRÓLEOS, S.A.;RUA GENERAL FIRMINO MIGUEL, 3 TORRE 2 14º;LISBOA;1600-100;LISBOA;LISBOA;LISBOA;217217600;217275893;cepsa@mail.telepac.pt;www.cepsa.pt;500513295;1004372622;172;Director de Marketing;Dra.;Claudia Soares Mendes
453615114;61100;SONAECOM - SERVIÇOS DE COMUNICAÇÕES, S.A.;ESPIDO - VIA NORTE;MAIA;4470-177;MAIA;MAIA;PORTO;229572000;229572204;comunicacao@sonae.com;www.sonaecom.pt;502604751;860697910.9;729;Director de Marketing;Eng.;Hugo Graça Figueiredo
454556028;47111;DIA PORTUGAL - SUPERMERCADOS, SOCIEDADE UNIPESSOAL, LDA;RUA DOUTOR JOSÉ JOAQUIM DE ALMEIDA, EDIFÍCIO PARQUE OCEANO-2 3ºE - SANTO AMARO DE OEIRAS;OEIRAS;2780-337;OEIRAS;OEIRAS;LISBOA;214401200;214421094;ana.cristina.nogueira@carrefour.com;www.minipreco.pt;503003808;828545407.1;3959;Director de Marketing;;Pedro Barbosa Viana
454460247;10510;LACTOGAL - PRODUTOS ALIMENTARES, S.A.;RUA DO CAMPO ALEGRE, 830 5º;PORTO;4150-171;PORTO;PORTO;PORTO;226070091;226070006;lactogal@mail.telepac.pt;www.lactogal.pt;503183997;765488115.3;1732;Director de Marketing;Dra.;Cristina Vasconcelos
452497076;47111;FEIRA NOVA - HIPERMERCADOS, S.A.;RUA TIERNO GALVAN, TORRE 3 PISO 9 LETRA J;LISBOA;1070-274;LISBOA;LISBOA;LISBOA;217532000;217532030;;;502013419;764817868.5;5664;Director de Marketing;Dra.;Vanessa Silva
449178714;45110;SIVA - SOCIEDADE DE IMPORTAÇÃO DE VEÍCULOS AUTOMÓVEIS, S.A.;QUINTA DA MINA E CASAL DE SÃO PEDRO;QUINTA DO SERRADO;2050-306;AZAMBUJA;AZAMBUJA;LISBOA;263407000;214724720;rds4428@mail.telepac.pt;www.sivaonline.pt;500301522;655993417.6;168;Director de Marketing;Dr.;Gustavo Marques Pereira
454199753;46460;ALLIANCE HEALTHCARE, S.A.;RUA ENGENHEIRO FERREIRA DIAS, 772;PORTO;4149-014;PORTO;PORTO;PORTO;225322400;226178023;geral@alliance-healthcare.pt;www.alliance-healthcare.pt;502693150;654669699;420;Director de Marketing;;Nuno Vasco Viegas Vieira Lopes
449617679;53100;CTT - CORREIOS DE PORTUGAL, S.A.;RUA SÃO JOSÉ, 20;LISBOA;1166-001;LISBOA;LISBOA;LISBOA;213227500;213227734;secretariageral@ctt.pt;www.ctt.pt;500077568;647999147;13877;Director de Marketing;Dra.;Carla Cruz
454562000;61100;ZON TV CABO PORTUGAL, S.A.;AVENIDA 5 DE OUTUBRO, 208 10º;LISBOA;1050-065;LISBOA;LISBOA;LISBOA;217914800;217914850;geral@tvcabo.pt;www.tvcabo.pt;503039063;623751432;453;Director de Marketing;;Jorge Filipe Pinto Sequeira dos Santos Graça
453897076;45110;PSA GESTÃO - COMÉRCIO E ALUGUER DE VEÍCULOS, S.A.;RUA GENERAL FIRMINO MIGUEL, 3 7º;LISBOA;1649-040;LISBOA;LISBOA;LISBOA;217200200;217261017;banque.psa@mail.telepac.pt;;502897562;621127703.7;0;Director de Marketing;;Salima de Maurrissens
450470646;45110;RENAULT PORTUGAL, S.A.;RUA DOUTOR JOSÉ ESPÍRITO SANTO, 12E;LISBOA;1950-096;LISBOA;LISBOA;LISBOA;218361000;218361191;contacto.cliente@renault.pt;www.renault.pt;500970602;619270715;163;Director de Marketing;;François Michel Breg
457757748;61900;OPTIMUS - TELECOMUNICAÇÕES, S.A.;RUA HENRIQUE POUSÃO, 432;SENHORA DA HORA;4460-191;SENHORA DA HORA;MATOSINHOS;PORTO;931002000;931022029;pagadoria.fornecedores@sonae.com;www.optimus.pt;503922692;611623366.4;1060;Director de Marketing;;Ana Paula Garrido Pina Marques
337846281;47191;WORTEN - EQUIPAMENTOS PARA O LAR, S.A.;RUA JOÃO MENDONÇA, 505;SENHORA DA HORA;4460-334;SENHORA DA HORA;MATOSINHOS;PORTO;229561899;229561801;HDADM@sonaedistribuicao.pt;www.worten.pt;503630330;611110203.4;2685;Director de Marketing;Dr.;Jose Fortunato
450483482;17120;SOPORCEL - SOCIEDADE PORTUGUESA DE PAPEL, S.A.;LAVOS;COSTA DE LAVOS;3090-458;LAVOS;FIGUEIRA DA FOZ;COIMBRA;233900200;219156166;geral@sintracopia.com;www.portucelsoporcel.com;500636630;608780349.9;763;Director de Marketing;Eng.;António Redondo
450271747;46214;REAGRO - IMPORTAÇÃO E EXPORTAÇÃO, S.A.;AVENIDA DE ROMA, 15 2ºESQ.;LISBOA;1000-261;LISBOA;LISBOA;LISBOA;217916000;217916099;reagro@reagro.pt;;500731748;595213767.1;57;Director de Marketing;Dr.;João Inácio Serrano Anjinho
452292469;47111;CONTINENTE HIPERMERCADOS, S.A.;ESTRADA DA OUTORELA, 118 BLOCO D - EDIFÍCIO IMOPÓLIS;CARNAXIDE;2790-114;CARNAXIDE;OEIRAS;LISBOA;214244200;229561801;carrefour.pt@mail.telepac.pt;www.carrefour.pt;501591109;583617550.8;3643;Director de Marketing;Dr.;José Luis Gutierrez
449044023;46460;OCP-PORTUGAL - PRODUTOS FARMACÊUTICOS, S.A.;RUA DO BARREIRO, 235 - URBANIZAÇÃO BOA VIAGEM II;MAIA;4470-573;MAIA;MAIA;PORTO;229409400;229409490;ocp.portugal@ocp.pt;www.ocp.pt;500364877;561281837;280;Director de Marketing;;Herminio Fernandes Tavares
457811016;46332;UNILEVER JERÓNIMO MARTINS, LDA;LARGO MONTERROIO MASCARENHAS, 1;LISBOA;1099-081;LISBOA;LISBOA;LISBOA;213892000;213892600;info.portugal@unilever.com;www.unilever-jm.com;503933139;559910191.5;289;Director de Marketing;Dra.;Fátima Aveiro
454569187;17110;PORTUCEL - EMPRESA PRODUTORA DE PASTA E PAPEL, S.A.;PENÍNSULA DA MITRENA - MITRENA;SETÚBAL;2910-738;SETÚBAL;SETÚBAL;SETÚBAL;265790600;234910619;dic@portucelsoporcel.com;www.portucelsoporcel.com;503025798;508428217;886;Director de Marketing;;Hermano Mendonça
337512011;41200;SOCIEDADE DE CONSTRUÇÕES SOARES DA COSTA, S.A.;RUA SANTOS POUSADA, 220;PORTO;4000-478;PORTO;PORTO;PORTO;228342200;228342641;geral@soaresdacosta.pt;www.soaresdacosta.pt;505924170;499806426.3;1978;Director de Marketing;Dra.;Rita Nunes Pinto
452255409;46390;MAKRO CASH & CARRY PORTUGAL, S.A.;RUA QUINTA DO PAIZINHO, 1 - PORTELA DE CARNAXIDE;CARNAXIDE;2790-236;CARNAXIDE;OEIRAS;LISBOA;214246500;214166206;compliance@makro.pt;www.metrogroup.de;502030712;497262559.4;1711;Director de Marketing;Dr.;António Paulo Coelho Pinheiro
449182666;45110;MERCEDES-BENZ PORTUGAL, S.A.;ZONA INDÚSTRIAL DA ABRUNHEIRA;ABRUNHEIRA;2714-530;SINTRA;SINTRA;LISBOA;219257000;219257010;mbportugal@mercedes-benz.pt;www.mercedes-benz.pt;500049424;484306519.6;176;Director de Marketing;Eng.;António Louro
449063684;41200;OPWAY - ENGENHARIA, S.A.;RUA PROFESSOR FERNANDO DA FONSECA, EDIFÍCIO VISCONDE ALVALADE, 5º/6º;LISBOA;1600-616;LISBOA;LISBOA;LISBOA;217522100;217591347;geral@opway.pt;www.opway.pt;500207577;450906822.2;787;Director de Marketing;Dr.;Pedro Campos Forte
449002245;27110;SIEMENS, S.A.;RUA IRMÃOS SIEMENS, 1/1A - VENTEIRA;AMADORA;2720-093;AMADORA;AMADORA;LISBOA;214178000;214178044;internetrequest.pt@siemens.com;www.siemens.pt;500247480;437406207.1;1202;Director de Marketing;;Joana Garoupa
454599762;42110;SOMAGUE - ENGENHARIA, S.A.;RUA TAPADA DA QUINTA DE CIMA, ESCRITÓRIOS SINTRACASCAIS;LINHÓ;2710-090;SINTRA;SINTRA;LISBOA;219104000;219104001;somague@somague.pt;www.somague.pt;503156000;395275055;1269;Director de Marketing;Dr.;Luís Manuel Pereira Garcêz
452560204;47191;EL CORTE INGLÊS - GRANDES ARMAZÉNS, S.A.;AVENIDA ANTÓNIO AUGUSTO DE AGUIAR, 31;LISBOA;1050-013;LISBOA;LISBOA;LISBOA;213711700;213832142;;www.elcorteingles.pt;501810285;392114910;3516;Director de Marketing;;Manuel Paula
450071423;45110;BMW PORTUGAL, LDA;LAGOAS PARK, EDIFÍCIO 11 2.PISO;PORTO SALVO;2740-244;PORTO SALVO;OEIRAS;LISBOA;214873000;214873220;geral@bmw.pt;www.bmw.pt;506698521;387916459;49;Director de Marketing;;Mario Fernandes
449001866;45110;FORD LUSITANA, S.A.;RUA ROSA ARAÚJO, 2/3/4;LISBOA;1250-195;LISBOA;LISBOA;LISBOA;213122300;213122280;infopt@ford.com;www.ford.pt;500118035;376713633.7;45;Director de Marketing;Eng.;Carlos Martins
449001478;47111;CONTIVENDA - COMERCIO RETALHISTA E ARMAZENISTA, S.A.;RUA JOÃO MENDONÇA, 505;SENHORA DA HORA;4460-334;SENHORA DA HORA;MATOSINHOS;PORTO;239502114;239502114;;;500096465;375288828.9;2615;Director de Marketing;;Jorge H. Almeida
450016287;11050;SCC - SOCIEDADE CENTRAL DE CERVEJAS E BEBIDAS, S.A.;ESTRADA ALFARROBEIRA;VIALONGA;2625-244;VIALONGA;VILA FRANCA DE XIRA;LISBOA;219528600;219520839;scc@centralcervejas.pt;www.centralcervejasbebidas.pt;511147236;373496111.1;823;Director de Marketing;;Nuno Teles
449179761;68200;UDIFAR - COOPERATIVA FARMACÊUTICA, CRL;RUA CIDADE DE HULL, 2 - ALTO DE COLARIDE;AGUALVA-CACÉM;2735-211;AGUALVA-CACÉM;SINTRA;LISBOA;218391000;218391055;direccao@udifar.com;www.udifar.pt;500332770;371172480;133;Director de Marketing;Dr.;Frederico Fialho
453211229;46510;HEWLETT-PACKARD PORTUGAL, LDA;RUA MALHÕES, 4 EDIFÍCIO DOM SANCHO I - QUINTA DA FONTE;PAÇO DE ARCOS;2770-071;PAÇO DE ARCOS;OEIRAS;LISBOA;214828500;214838420;apoio.clientes@hp.com;www.hp.pt;502407697;371027735.2;319;Director de Marketing;Dr.;João Moro
450169503;64190;CAIXA ECONÓMICA MONTEPIO GERAL;RUA ÁUREA, 219/241;LISBOA;1100-062;LISBOA;LISBOA;LISBOA;213248000;213249801;grpi@montepio.pt;www.montepio.pt;500792615;367948745.4;2986;Director de Marketing;Dr.;Fernando Jorge Lopes Centeno Amaro
454402058;45110;PEUGEOT PORTUGAL AUTOMÓVEIS, S.A.;RUA QUINTA DO PAIZINHO, 5;CARNAXIDE;2790-236;CARNAXIDE;OEIRAS;LISBOA;214166600;214166695;cccnet.peugeot.pt@peugeot.com;;502995912;364942496.3;89;Director de Marketing;Dra.;Denyze Souza Agostinho
450668876;46711;REPSOL PORTUGAL, PETROLEO E DERIVADOS, LDA;AVENIDA JOSÉ MALHOA, 16B;LISBOA;1070-159;LISBOA;LISBOA;LISBOA;214149000;214143725;ajinacio@repsolypf.com;www.repsolypf.com;501348891;345929774;160;Director de Marketing;Eng.;Armando Oliveira
449205293;23510;SECIL - COMPANHIA GERAL DE CAL E CIMENTO, S.A.;AVENIDA FORÇAS ARMADAS, 125 6º;LISBOA;1600-079;LISBOA;LISBOA;LISBOA;217927100;217936200;secil@secil.pt;www.secil.pt;500243590;343473324;362;Director de Marketing;Eng.;Fernando Sales Vieira
450478292;64910;RCI GEST - INSTITUIÇÃO FINANCEIRA DE CRÉDITO, S.A.;LAGOAS PARK, EDIFÍCIO 4;PORTO SALVO;2740-244;PORTO SALVO;OEIRAS;LISBOA;218502146;;rg.cliente@rcibanque.com;www.renault.pt;500970599;339044819.9;37;Director de Marketing;;Ana Aires Pereira
449699396;10414;SOVENA PORTUGAL - CONSUMER GOODS, S.A.;RUA GENERAL FERREIRA MARTINS, 6 8º;MIRAFLORES;1495-137;ALGÉS;OEIRAS;LISBOA;214129300;212072831;mail@sovena.pt;www.sovena.pt;500833532;322017754;265;Director de Marketing;Dr.;Luís Santos
452490667;68321;SIERRA MANAGEMENT PORTUGAL - GESTÃO DE CENTROS COMERCIAIS, S.A.;RUA AMÍLCAR CABRAL, 23 - QUINTA DO LAMBERT;LISBOA;1750-018;LISBOA;LISBOA;LISBOA;217515000;217582688;sacosta@sonae.pt;www.sonaeimobiliaria.com;502142324;313793712.1;194;Director de Marketing;;Carlos Jesus
449319276;52230;ANA - AEROPORTOS DE PORTUGAL, S.A.;RUA D, EDIFÍCIO 120 - AEROPORTO DE LISBOA;LISBOA;1700-008;LISBOA;LISBOA;LISBOA;218413500;218445088;contactar@ana.pt;www.ana.pt;500700834;312827502.9;1232;Director de Marketing;Eng.;Leonel Horta Ribeiro
449132794;45110;AUTOMÓVEIS CITROEN, S.A.;RUA VASCO DA GAMA, 20;PORTELA;2685-244;PORTELA LRS;LOURES;LISBOA;219497700;219497895;webmaster10@citroen.com;www.citroen.pt;500038961;301751638.9;342;Director de Marketing;Dr.;Miguel Sa da Bandeira
449000892;45110;TOYOTA CAETANO PORTUGAL, S.A.;AVENIDA VASCO DA GAMA, 1410 - OLIVEIRA DO DOURO;VILA NOVA DE GAIA;4430-247;VILA NOVA DE GAIA;VILA NOVA DE GAIA;PORTO;227867000;227867171;comunicacao@toyotacaetano.pt;www.salvadorcaetano.pt;500239037;294821381;675;Director de Marketing;Eng.;Sousa Campos
449523174;29310;DELPHI - PACKARD, SISTEMAS ELECTRICOS, S.A.;LUGAR DA TAPADA NOVA - LINHO;SINTRA;2710-000;SINTRA;SINTRA;LISBOA;214909000;219247996;delphi@mail.telepac.pt;;501152130;292959561.5;7000;Director de Marketing;;Antonio C. Marques Costa Cabral
